=====measurements=====
|t|ch1|ch2|ch3|ch4|ch5|ch6|
0,0i?????.777
17253,-1.0000,0.777
17270,-0.9808,0.777
17286,-0.9239,0.777
17302,-0.8382,0.777
17319,-0.7157,0.777
17338,-0.5758,0.777
17352,-0.4052,0.777
17368,-0.2311,0.777
17384,0.0980,0.777
17406,0.2667,0.777
17415,0.4386,0.777
17436,0.5858,0.777
17445,0.7242,0.777
17460,0.8315,0.777
17475,0.9142,0.777
17490,0.9729,0.777
17505,0.9981,0.777
17521,0.9939,0.777
17536,0.9569,0.777
17551,0.8876,0.777
17567,0.7958,0.777
17582,0.6716,0.777
17597,0.5350,0.777
17613,0.3713,0.777
17630,0.2071,0.777
17643,0.0245,0.777
17658,-0.1467,0.777
17674,-0.3369,0.777
17691,-0.5035,0.777
17707,-0.6624,0.777
17723,-0.7883,0.777
17740,-0.8932,0.777
17756,-0.9604,0.777
17772,-0.9963,0.777
17789,-0.9952,0.777
17808,-0.9569,0.777
17822,-0.8876,0.777
17838,-0.7807,0.777
17855,-0.6438,0.777
17871,-0.4929,0.777
17888,-0.3137,0.777
17904,0.0000,0.777
17922,0.1589,0.777
17936,0.3369,0.777
17948,0.4929,0.777
17964,0.6438,0.777
17978,0.7652,0.777
17997,0.8640,0.777
18009,0.9415,0.777
18024,0.9853,0.777
18039,0.9999,0.777
18061,0.9831,0.777
18070,0.9330,0.777
18085,0.8514,0.777
18100,0.7491,0.777
18116,0.6152,0.777
18131,0.4714,0.777
18146,0.3137,0.777
18162,0.1346,0.777
18177,-0.0368,0.777
18193,-0.2311,0.777
18209,-0.4052,0.777
18225,-0.5758,0.777
18248,-0.7157,0.777
18258,-0.8382,0.777
18275,-0.9239,0.777
18291,-0.9808,0.777
18307,-0.9999,0.777
18324,-0.9831,0.777
18350,-0.9330,0.777
18356,-0.8449,0.777
18373,-0.7242,0.777
18389,-0.5858,0.777
18406,-0.4164,0.777
18422,-0.2430,0.777
18438,0.0858,0.777
18454,0.2549,0.777
18469,0.4276,0.777
18484,0.5758,0.777
18505,0.7071,0.777
18514,0.8246,0.777
18529,0.9092,0.777
18544,0.9670,0.777
18560,0.9973,0.777
18575,0.9952,0.777
18596,0.9604,0.777
18606,0.8932,0.777
18621,0.8032,0.777
18636,0.6895,0.777
18652,0.5453,0.777
18667,0.3827,0.777
18682,0.2191,0.777
18697,0.0491,0.777
18715,-0.1346,0.777
18729,-0.3253,0.777
18745,-0.4929,0.777
18761,-0.6438,0.777
18778,-0.7807,0.777
18794,-0.8819,0.777
18815,-0.9569,0.777
18827,-0.9939,0.777
18843,-0.9963,0.777
18860,-0.9604,0.777
18876,-0.8932,0.777
18893,-0.7883,0.777
18911,-0.6532,0.777
18925,-0.5035,0.777
18942,-0.3253,0.777
18958,-0.1467,0.777
18975,0.1830,0.777
18989,0.3484,0.777
19004,0.5035,0.777
19020,0.6438,0.777
19035,0.7730,0.777
19050,0.8701,0.777
19065,0.9456,0.777
19080,0.9873,0.777
19095,0.9999,0.777
19111,0.9808,0.777
19126,0.9285,0.777
19141,0.8514,0.777
19157,0.7410,0.777
19172,0.6152,0.777
19187,0.4605,0.777
19203,0.3020,0.777
19218,0.1346,0.777
19233,-0.0491,0.777
19249,-0.2430,0.777
19266,-0.4164,0.777
19282,-0.5758,0.777
19298,-0.7242,0.777
19314,-0.8382,0.777
19331,-0.9285,0.777
19347,-0.9808,0.777
19363,-1.0000,0.777
19380,-0.9831,0.777
19396,-0.9285,0.777
19413,-0.8382,0.777
19429,-0.7242,0.777
19445,-0.5758,0.777
19466,-0.4164,0.777
19478,-0.2311,0.777
19494,0.0858,0.777
19509,0.2667,0.777
19524,0.4276,0.777
19540,0.5758,0.777
19559,0.7157,0.777
19570,0.8246,0.777
19585,0.9142,0.777
19606,0.9700,0.777
19616,0.9973,0.777
19632,0.9939,0.777
19646,0.9604,0.777
19668,0.8932,0.777
19677,0.8032,0.777
19692,0.6806,0.777
19707,0.5453,0.777
19722,0.3827,0.777
19738,0.2191,0.777
19753,0.0368,0.777
19768,-0.1346,0.777
19785,-0.3253,0.777
19801,-0.4929,0.777
19817,-0.6532,0.777
19833,-0.7807,0.777
19849,-0.8876,0.777
19866,-0.9569,0.777
19883,-0.9952,0.777
19899,-0.9963,0.777
19915,-0.9604,0.777
19932,-0.8876,0.777
19948,-0.7883,0.777
19965,-0.6532,0.777
19981,-0.5035,0.777
20001,-0.3253,0.777
20014,-0.1467,0.777
20030,0.1830,0.777
20046,0.3484,0.777
20060,0.5141,0.777
20075,0.6532,0.777
20093,0.7730,0.777
20106,0.8761,0.777
20121,0.9456,0.777
20136,0.9873,0.777
20151,0.9997,0.777
20167,0.9783,0.777
20182,0.9285,0.777
20197,0.8449,0.777
20215,0.7410,0.777
20228,0.6055,0.777
20243,0.4605,0.777
20258,0.2903,0.777
20273,0.1224,0.777
20289,-0.0491,0.777
20308,-0.2430,0.777
20321,-0.4164,0.777
20338,-0.5858,0.777
20356,-0.7242,0.777
20389,-0.8449,0.777
20390,-0.9285,0.777
20403,-0.9831,0.777
20419,-1.0000,0.777
20436,-0.9808,0.777
20452,-0.9239,0.777
20469,-0.8382,0.777
20485,-0.7157,0.777
20501,-0.5758,0.777
20518,-0.4052,0.777
20535,-0.2311,0.777
20550,0.0980,0.777
20565,0.2667,0.777
20581,0.4386,0.777
20596,0.5858,0.777
20611,0.7157,0.777
20626,0.8315,0.777
20641,0.9142,0.777
20657,0.9729,0.777
20671,0.9981,0.777
20687,0.9939,0.777
20702,0.9569,0.777
20720,0.8876,0.777
20733,0.7958,0.777
20750,0.6716,0.777
20763,0.5350,0.777
20779,0.3713,0.777
20794,0.2071,0.777
20809,0.0245,0.777
20824,-0.1467,0.777
20845,-0.3369,0.777
20857,-0.5035,0.777
20873,-0.6624,0.777
20889,-0.7883,0.777
20906,-0.8932,0.777
20922,-0.9604,0.777
20938,-0.9963,0.777
20955,-0.9952,0.777
20971,-0.9569,0.777
20988,-0.8876,0.777
21004,-0.7807,0.777
21021,-0.6438,0.777
21043,-0.4929,0.777
21058,-0.3137,0.777
21070,0.0000,0.777
21083,0.1589,0.777
21099,0.3369,0.777
21114,0.4929,0.777
21129,0.6438,0.777
21144,0.7652,0.777
21159,0.8640,0.777
21175,0.9415,0.777
21193,0.9853,0.777
21205,0.9999,0.777
21222,0.9831,0.777
21236,0.9330,0.777
21251,0.8514,0.777
21266,0.7491,0.777
21282,0.6152,0.777
21297,0.4714,0.777
21315,0.3137,0.777
21327,0.1346,0.777
21343,-0.0368,0.777
21359,-0.2311,0.777
21375,-0.4052,0.777
21391,-0.5758,0.777
21407,-0.7157,0.777
21424,-0.8382,0.777
21440,-0.9239,0.777
21456,-0.9808,0.777
21473,-0.9999,0.777
21489,-0.9831,0.777
21506,-0.9330,0.777
21522,-0.8449,0.777
21539,-0.7242,0.777
21559,-0.5858,0.777
21572,-0.4164,0.777
21588,-0.2430,0.777
21604,0.0858,0.777
21624,0.2549,0.777
21635,0.4276,0.777
21651,0.5758,0.777
21665,0.7071,0.777
21680,0.8246,0.777
21698,0.9092,0.777
21716,0.9700,0.777
21725,0.9973,0.777
21744,0.9952,0.777
21756,0.9604,0.777
21771,0.8987,0.777
21787,0.8032,0.777
21802,0.6895,0.777
21817,0.5453,0.777
21832,0.3827,0.777
21848,0.2191,0.777
21863,0.0491,0.777
21880,-0.1346,0.777
21895,-0.3137,0.777
21911,-0.4929,0.777
21927,-0.6438,0.777
21944,-0.7807,0.777
21960,-0.8819,0.777
21976,-0.9569,0.777
21999,-0.9939,0.777
22009,-0.9963,0.777
22037,-0.9604,0.777
22042,-0.8932,0.777
22058,-0.7883,0.777
22075,-0.6624,0.777
22091,-0.5035,0.777
22108,-0.3253,0.777
22129,-0.1467,0.777
22140,0.1710,0.777
22155,0.3484,0.777
22170,0.5035,0.777
22185,0.6532,0.777
22200,0.7730,0.777
22215,0.8701,0.777
22231,0.9456,0.777
22246,0.9873,0.777
22261,0.9999,0.777
22281,0.9808,0.777
22292,0.9285,0.777
22307,0.8514,0.777
22323,0.7410,0.777
22338,0.6152,0.777
22353,0.4605,0.777
22375,0.3020,0.777
22383,0.1224,0.777
22402,-0.0491,0.777
22415,-0.2311,0.777
22431,-0.4164,0.777
22447,-0.5758,0.777
22467,-0.7242,0.777
22480,-0.8382,0.777
22496,-0.9285,0.777
22512,-0.9808,0.777
22531,-1.0000,0.777
